,currentTime,Lookup_Table,POS_MEASUREREV,TMC_filtered,CF_RL
88,10.536027578344695,2858.0,1.2791200000000065,1100.0,3553.0
89,10.546027578344695,2880.0,1.2791200000000065,1100.0,3708.0
90,10.556027578344697,2880.0,1.2899600000000064,1100.0,3864.0
91,10.566027578344697,2913.0,1.3008000000000066,1100.0,3708.0
92,10.576027578344696,2968.0,1.3116400000000064,1100.0,3708.0
93,10.586027578344694,2996.0,1.3224800000000063,1100.0,3708.0
94,10.596027578344694,3012.0,1.3333200000000065,1100.0,3708.0
95,10.606027578344694,3062.0,1.3441600000000065,1100.0,3864.0
96,10.616027578344696,3106.0,1.3550000000000075,1100.0,3864.0
97,10.626027578344695,3144.0,1.3658400000000075,1200.0,3864.0
98,10.636027578344695,3172.0,1.3658400000000075,1200.0,3708.0
99,10.646027578344697,3188.0,1.3875200000000076,1200.0,3708.0
